,Food,Price
0,TS trân châu đường đen,"19,000"
1,TS Trứng Miếng,"24,000"
2,TS trân châu trắng,"22,000"
3,TS cheese ball,"24,000"
4,TS Sô-cô-la,"22,000"
5,TS phô mai tươi,"24,000"
6,TS Double Cheese,"32,000"
7,Trà Sữa Lài,"22,000"
8,TS hạt sen,"22,000"
9,Trà sữa sốt dâu,"24,000"
10,TS Khoai Môn Tươi,"24,000"
11,Trà Sữa Olong,"22,000"
12,TS đậu đỏ,"22,000"
13,TS thạch dừa,"22,000"
14,Trà Sữa Bạc Hà Trân Châu,"24,000"
15,Trà Sữa Sốt Xoài,"24,000"
16,TS sương sáo,"22,000"
17,TS Matcha Đậu Đỏ,"32,000"
18,Trà sữa Fulltopping,"32,000"
19,TS Kiều Mạch,"22,000"
20,TS Sốt Việt Quất,"24,000"
21,TS Sốt Chery,"24,000"
22,Sữa tươi trân châu đường đen,"25,000"
23,Matcha trân châu đường đen,"29,000"
24,Kem trứng trân châu đường đen,"32,000"
25,Sữa tươi kem trứng đường đen ,"25,000"
26,Sương sáo thảo mộc đường đen,"25,000"
27,Trà Shan Tuyết Lài,"15,000"
28,Hồng trà Nhật Nguyệt,"15,000"
29,Trà đào hồng,"27,000"
30,Trà dâu tây,"25,000"
31,Trà olong Tuyết Sơn,"15,000"
32,Trà ổi hồng,"27,000"
33,Trà lựu đỏ thạch dừa,"32,000"
34,Trà vải tươi,"27,000"
35,Trà dưa lưới,"25,000"
36,Trà bưởi đỏ,"25,000"
37,Trà chanh vàng,"20,000"
38,Trà Cherry,"25,000"
39,Trà Việt Quất,"28,000"
40,Trà Chanh Vàng Mật Ong,"25,000"
41,Trà Trái Thơm,"25,000"
42,Yakult chery,"29,000"
43,Yakult lựu đỏ,"29,000"
44,Trà Xoài,"25,000"
45,Trà  Chanh Dây,"25,000"
46,Yakult vải,"29,000"
47,Sữa Chua Việt Quất,"32,000"
48,Sữa Chua Đào,"32,000"
49,Sữa Chua Xoài,"32,000"
50,Sữa chua chery,"32,000"
51,Soda Việt Quất,"30,000"
52,Soda Lựu Đỏ,"30,000"
53,Soda Chery,"30,000"
54,Soda Dâu,"30,000"
55,Soda Ổi,"30,000"
56,Soda Dưa Lưới,"30,000"
