,Food,Price
0,Latte xoài,"38,000"
1,Latte dâu,"38,000"
2,Latte matcha,"42,000"
3,Latte   chocolate,"42,000"
4,Latte khoai lang tím,"42,000"
5,Hạnh nhân machiato,"40,000"
6,Cafe năng lượng sữa đá,"29,000"
7,Caramel machiato,"40,000"
8,Bạc sỉu đá,"35,000"
9,Cafe năng lượng đá,"25,000"
10,Cafe cacao sữa dừa,"45,000"
11,Latte đá,"35,000"
12,Cappuchino đá,"35,000"
13,Cà phê kem sữa ecoffee,"45,000"
14,Cafe năng lượng sữa nóng,"29,000"
15,Cafe kem trứng,"45,000"
16,Cafe năng lượng nóng,"25,000"
17,Trà atiso đỏ hibisus,"35,000"
18,Trà đào,"35,000"
19,Nước chanh sả gừng,"35,000"
20,Trà thảo mộc thanh nhiệt,"35,000"
21,Trà lài Nguyên Vị,"32,000"
22,Trà xoai nhiệt đới,"35,000"
23,Trà táo Xanh,"35,000"
24,Trà olong Nguyên Vị,"30,000"
25,Chanh muối mật ong,"35,000"
26,Trà hoa đậu biếc,"35,000"
27,Trà olong  kem sữa,"35,000"
28,Trà lài  kem sữa,"35,000"
29,Sữa chua blueberry,"45,000"
30,Sữa chua rasberry,"45,000"
31,Sữa chu xoài,"40,000"
32,Sữa chua dâu,"40,000"
33,Sữa chu truyền thống,"40,000"
34,Sữa chu khoai lang tím,"42,000"
35,Matcha đá xay,"45,000"
36,Chocolate đá xay,"45,000"
37,Chocolate  kem phủ,"45,000"
38,Matcha  kem phủ,"45,000"
39,Trà sữa kem trứng,"45,000"
40,Trà sữa olong,"38,000"
41,Trà sữa hokkaido,"40,000"
42,ecoffee caramel milk tea,"45,000"
43,ecoffee chocolate  milk tea,"45,000"
44,trà sữa 3Q,"38,000"
45,Trà sữa xoài,"38,000"
46,Trà sữa dâu ngọc trai,"38,000"
