,Food,Price
0,Bún đậu mắm tôm phần cơ bản,"28,000"
1,Bún đậu đặc biệt,"50,000"
2,Bún đậu  (bạn bè) ,"60,000"
3,Bún đậu gia đình ,"105,000"
4,Combo bún đậu mắm tôm + nước ép trái cây tự chọn ,"40,000"
5,Bún đậu sum vầy ,"150,000"
6,Nem rán ,"10,000"
7,Bánh tráng trứng ,"15,000"
8,Cá viên chiên ,"20,000"
9,Bánh tráng trộn ,"15,000"
10,Gỏi xoài bò khô,"20,000"
11,Xúc xích lắc ,"12,000"
12,Phomai que ,"12,000"
13,Cóc non chấm ruốc ,"20,000"
14,Khoai lang kén ,"20,000"
15,Khoai tây chiên ,"20,000"
16,Nước sấu ngâm hà nội ,"15,000"
17,Trà đào,"15,000"
18,Thơm ,"15,000"
19,Coca-sting-revie ,"15,000"
20,Ổi,"15,000"
21,Cam ,"17,000"
22,Cóc,"15,000"
23,Chanh dây ,"15,000"
24,Nước mơ ngâm ,"15,000"
25,Nước dâu tầm,"15,000"
26,Dưa hấu,"12,000"
27,Trà vải ,"15,000"
28,Cam + cà rốt ,"17,000"
29,Táo ,"15,000"
30,Chanh ,"15,000"
31,Trà chanh,"15,000"
32,Thơm + cà rốt ,"15,000"
33,Cóc + xoài ,"15,000"
34,Nước suối ,"7,000"
35,Dưa. Lưới ,"20,000"
36,Xoài ,"15,000"
37,Cà chua ,"15,000"
38,Cóc + ổi ,"15,000"
39,Thập cẩm ,"20,000"
40,Bơ ,"20,000"
41,Mãng cầu ,"20,000"
42,Dâu tây ,"20,000"
43,Đu đủ,"17,000"
44,Mít,"20,000"
45,Bún thêm ,"5,000"
46,Đậu khuôn,"8,000"
47,Chả cốm,"20,000"
48,Dồi i,"20,000"
49,Chả giò,"20,000"
50,Thịt luộc,"20,000"
