,Food,Price
0,Smile Tea,"70,000"
1,Smile Tea Nhỏ,"55,000"
2,Chanh Leo Cốt Dừa,"50,000"
3,Sữa Chua Hoa Quả,"50,000"
4,Sữa Chua Dẻo - Kacao,"45,000"
5,Sữa Chua Cafe,"45,000"
6,Sữa Chua Thạch,"35,000"
7,Sữa Chua Cacao,"40,000"
8,Mix Táo Và Dứa,"50,000"
9,Nước Ép Bưởi,"50,000"
10,Mix Cam Và Cà Rốt,"50,000"
11,Nước Ép Cam,"50,000"
12,Nước Ép Dưa Hấu,"45,000"
13,Nước Ép Ổi,"40,000"
14,Nước Ép Chanh Leo,"40,000"
15,Nước Ép Dứa,"40,000"
16,Nước Dừa,"35,000"
17,Nước Ép Cà Rốt,"35,000"
18,Nước Chanh Tươi,"30,000"
19,Nước Ép Táo,"50,000"
20,IB Việt Quất,"50,000"
21,Chocolate Cookie,"50,000"
22,Mojito Việt Quất,"45,000"
23,Caramel Freeze,"50,000"
24,Matcha Iced Blended,"50,000"
25,Mintchoc,"50,000"
26,Dâu Rừng,"50,000"
27,Mojito Đào Chanh Leo,"45,000"
28,Mojito Dâu - Dưa Hấu,"45,000"
29,Cafe Cốt Dừa,"45,000"
30,Bạc Xỉu,"35,000"
31,Cafe Nâu,"25,000"
32,Cafe Đen,"20,000"
33,Cafe Sữa Lắc,"25,000"
34,Sinh Tố Bơ,"50,000"
35,Sinh Tố Xoài,"50,000"
36,Sinh Tố Chanh Leo,"50,000"
37,Xoài - Đậu Xanh,"50,000"
38,Hoa Quả Mix,"50,000"
39,Lassi Xoài,"50,000"
40,Sinh Tố Việt Quất,"50,000"
41,Chanh Leo Tuyết,"45,000"
42,Trà Vải Dưa Hấu,"50,000"
43,Trà Đào Sả,"45,000"
44,Trà Đào Cam Sả,"50,000"
45,Trà Nhài - Chanh Leo,"35,000"
46,Trà Cam Quế,"50,000"
47,Trà Đào Chanh Leo,"45,000"
48,Trà Lipton,"30,000"
49,Trà Bưởi Đào Hoa Hồng,"45,000"
50,Trà Chanh Vàng - Hoa Hồng,"45,000"
51,Trà Táo,"45,000"
52,Trà Chanh Vàng Kiwi,"45,000"
53,Trà Quế,"40,000"
54,Trà Bạc Hà,"40,000"
55,Trà Dâu,"40,000"
56,Trà Lipton Sữa,"35,000"
57,Chocolate,"45,000"
58,Capucino,"35,000"
59,Dalgona Coffee,"35,000"
60,Espresso,"30,000"
61,Coffee Latte,"35,000"
62,Matcha Latte,"35,000"
63,Americano,"35,000"
