,Food,Price
0,Truyền thống,"23,000"
1,Thái xanh đặc biệt,"30,000"
2,Trà sữa ô long,"28,000"
3,Trà sữa ô long không thạch,"18,000"
4,Thái xanh,"23,000"
5,Nướng,"30,000"
6,Truyền thống đặc biệt,"30,000"
7,Trà sữa không thạch,"13,000"
8,Nướng không thạch,"18,000"
9,Gạo,"28,000"
10,Than tre đặc biệt,"35,000"
11,Gạo không thạch,"18,000"
12,Than tre,"28,000"
13,Nướng đặc biệt,"35,000"
14,Than tre không thạch,"18,000"
15,Socola,"37,000"
16,Socola mint,"39,000"
17,Cookie,"39,000"
18,Cookie mint,"39,000"
19,Matcha,"37,000"
20,Yaourt đá xay mix vị,"30,000"
21,Cafe dừa,"23,000"
22,Bạc xỉu,"18,000"
23,Bạc xỉu muối,"23,000"
24,Cafe muối,"23,000"
25,Cafe đen,"15,000"
26,Cafe đen SG,"17,000"
27,Cafe sữa,"15,000"
28,Cafe sữa SG,"17,000"
29,Cafe choco,"23,000"
30,Cafe sốt kem trứng,"23,000"
31,Trà đào,"25,000"
32,Trà dâu tằm,"25,000"
33,Trà tắc xí muội,"20,000"
34,Trà hoa đậu biếc,"25,000"
35,Trà sen maduato,"30,000"
36,Trà gừng,"20,000"
37,Trà vải,"30,000"
38,Trà Lipton cam,"25,000"
39,Trà Lipton chanh,"25,000"
40,Trà bưởi ô mai,"25,000"
41,Trà gừng mật ong,"25,000"
42,Sữa chua full thạch,"25,000"
43,Sữa chua đá,"20,000"
44,Sữa chua dầm mix vị,"25,000"
45,Sữa chua nha đam,"20,000"
46,Sữa chua muối trân châu đường đen,"25,000"
47,Milo dầm đặc biệt,"32,000"
48,Milo sốt kem trứng,"35,000"
49,Cacao nóng,"25,000"
50,Milo truyền thống,"25,000"
51,Cacao bánh,"30,000"
52,Milo cheese,"35,000"
53,Milo macchiato,"35,000"
54,Sữa tươi trân châu sốt kem cheese,"30,000"
55,Sữa tươi trân châu đường đen,"25,000"
56,Sữa tươi trân châu sốt kem trứng dừa nướng,"33,000"
57,Sữa tươi trân châu sốt kem trứng,"30,000"
58,Sữa tươi trân châu sốt kem macchiato,"30,000"
59,Cam,"25,000"
60,Chanh xí muội,"23,000"
61,Chanh tươi,"20,000"
62,Cam mật ong,"30,000"
63,Chanh dây,"30,000"
64,Ổi,"20,000"
65,Cà rốt,"20,000"
66,Thơm,"20,000"
67,Trà ô long macchiato,"25,000"
68,Trà ô long kem cheese,"25,000"
69,Soda hoa đậu biếc,"25,000"
70,Soda chanh dây,"25,000"
71,Soda cam dâu,"25,000"
72,Soda chanh muối,"25,000"
