,Food,Price
0,Trà sữa truyền thống,"20,000"
1,Trà sữa full topping,"35,000"
2,Trà sữa trân châu,"25,000"
3,Trà sữa trân châu chocolate,"30,000"
4,Trà sữa kem trứng fomat jerry,"35,000"
5,Trà sữa trân châu đường đen,"28,000"
6,Trà sữa chai 500ml,"55,000"
7,Trà sữa chai 1000ml,"100,000"
8,Trà sữa chai gấu trân châu,"40,000"
9,Trà sữa lài trân châu,"30,000"
10,Trà sữa kem trứng flan,"40,000"
11,Trà sữa kem trứng pudding,"35,000"
12,Trà sữa chai gấu fomat jerry,"50,000"
13,Trà dâu tươi,"30,000"
14,Hồng trà chanh trân châu,"27,000"
15,Hồng trà sủi bọt,"20,000"
16,Lục trà sủi bọt,"20,000"
17,Hồng trà tắc,"20,000"
18,Hồng trà trân châu,"25,000"
19,Lục trà trân châu,"25,000"
20,Lục trà chanh trân châu,"27,000"
21,Trà đào miếng thanh đào,"30,000"
22,Trà đào cam sả,"35,000"
23,Trà dâu cam đào,"35,000"
24,Lục trà lài nhãn,"30,000"
25,Lục trà lài vải,"25,000"
26,Trà dưa lưới,"30,000"
27,Sữa tươi cafe,"25,000"
28,Sữa tươi cafe sương sáo,"30,000"
29,Sữa tươi trân châu đường đen,"28,000"
30,Sữa tươi trân châu kem trứng fomat,"40,000"
31,Sữa tươi cafe kem trứng sương sáo,"35,000"
32,Cacao sữa,"25,000"
33,Milo dầm full topping,"35,000"
34,Milo dầm full topping + flan,"40,000"
35,Milo dầm kem trứng fomat jerry,"40,000"
36,Milo sữa,"25,000"
37,Milo dầm trân châu,"25,000"
38,Milo dầm kem trứng trân châu flan,"35,000"
39,Trân châu đen,"6,000"
40,Sương sáo,"6,000"
41,Bánh flan,"10,000"
42,Vien phô mai,"10,000"
43,Fomat jerry,"10,000"
44,Trân châu dừa,"6,000"
45,Trân châu tươi cầu vòng,"6,000"
46,Thạch củ năng,"6,000"
47,Thạch dâu,"6,000"
48,Thạch dưa lưới,"6,000"
49,Thạch thủy tinh dâu,"7,000"
50,Pudding trứng,"10,000"
51,Thạch thủy tinh dưa lưới,"7,000"
52,Thạch dẻo đường nâu,"6,000"
53,Thạch dừa băng tuyết,"6,000"
54,Pudding chocolate,"10,000"
55,Mì sợi pudding,"10,000"
56,Khoai dẻo,"6,000"
57,Trân châu trắng,"6,000"
58,Thạch trái cây,"6,000"
